data_id,id,modified,name,value,
198,1865401,1493441050,091_AHU01_CEV_1E_Cooling_US1,4013203.000,
199,1865402,1493441050,091_AHU01_CEV_1E_Heating_US1,2762.525,
200,1865403,1493441051,091_AHU01_CEV_1RelPower,0.000,
201,1865404,1493441051,091_AHU01_CEV_2RelPos,0.000,
203,1865405,1493441054,091_AHU01_CEV_2AbsFlow_US,0.000,
204,1865406,1493441054,091_AHU01_CEV_2T1_US,54.329,
205,1865407,1493441054,091_AHU01_CEV_2DeltaT_US,2.242,
206,1865408,1493441055,091_AHU01_CEV_2T2_US,56.566,
207,1865409,1493441055,091_AHU01_CEV_2AbsPower_US1,0.000,
208,1865410,1493441056,091_AHU01_CEV_2E_Cooling_US1,1107695.625,
209,1865411,1493441056,091_AHU01_CEV_2E_Heating_US1,233.098,
210,1865412,1493441056,091_AHU01_CEV_2RelPower,0.000,
211,1865413,1493441056,091_AHU319_CEV_RelPos,0.000,
213,1865414,1493441059,091_AHU319_CEV_AbsFlow_US,0.000,
214,1865415,1493441059,091_AHU319_CEV_T1_US,69.264,
215,1865416,1493441059,091_AHU319_CEV_DeltaT_US,1.306,
216,1865417,1493441059,091_AHU319_CEV_T2_US,70.570,
217,1865418,1493441059,091_AHU319_CEV_AbsPower_US1,0.000,
218,1865419,1493441060,091_AHU319_CEV_E_Cooling_US1,811.358,
219,1865420,1493441060,091_AHU319_CEV_E_Heating_US1,2.246,
220,1865421,1493441060,091_AHU319_CEV_RelPower,0.000,
221,1865422,1493441060,091_AHU504_CEV_RelPos,0.000,
222,1865423,1493441060,091_AHU504_CEV_RelFlow,0.000,
223,1865424,1493441061,091_AHU504_CEV_AbsFlow_US,0.000,
224,1865425,1493441061,091_AHU504_CEV_T1_US,72.005,
225,1865426,1493441061,091_AHU504_CEV_DeltaT_US,0.517,
226,1865427,1493441061,091_AHU504_CEV_T2_US,72.527,
227,1865428,1493441061,091_AHU504_CEV_AbsPower_US1,0.000,
228,1865429,1493441062,091_AHU504_CEV_E_Cooling_US1,37914.453,
229,1865430,1493441062,091_AHU504_CEV_E_Heating_US1,0.194,
271,1865431,1493441185,165_MAU1_CEV_1RelPos,0.000,
272,1865432,1493441185,165_MAU1_CEV_1RelFlow,0.000,
273,1865433,1493441185,165_MAU1_CEV_1AbsFlow_US,0.000,
274,1865434,1493441185,165_MAU1_CEV_1T1_US,89.419,
275,1865435,1493441185,165_MAU1_CEV_1DeltaT_US,14.225,
276,1865436,1493441185,165_MAU1_CEV_1T2_US,75.199,
277,1865437,1493441185,165_MAU1_CEV_1AbsPower_US1,0.000,
278,1865438,1493441185,165_MAU1_CEV_1E_Cooling_US1,3099698.000,
279,1865439,1493441186,165_MAU1_CEV_1E_Heating_US1,1064.822,
280,1865440,1493441186,165_MAU1_CEV_1RelPower,0.000,
281,1865441,1493441186,165_MAU1_CEV_2RelPos,0.000,
282,1865442,1493441186,165_MAU1_CEV_2RelFlow,0.000,
283,1865443,1493441186,165_MAU1_CEV_2AbsFlow_US,0.000,
284,1865444,1493441186,165_MAU1_CEV_2T1_US,89.544,
285,1865445,1493441187,165_MAU1_CEV_2DeltaT_US,13.882,
286,1865446,1493441187,165_MAU1_CEV_2T2_US,75.663,
287,1865447,1493441187,165_MAU1_CEV_2AbsPower_US1,0.000,
288,1865448,1493441187,165_MAU1_CEV_2E_Cooling_US1,3411292.250,
289,1865449,1493441187,165_MAU1_CEV_2E_Heating_US1,5553.084,
290,1865450,1493441187,165_MAU1_CEV_2RelPower,0.000,
291,1865451,1493441187,165_AHU1_CEV_RelPos,0.000,
292,1865452,1493441188,165_AHU1_CEV_RelFlow,0.000,
293,1865453,1493441188,165_AHU1_CEV_AbsFlow_US,0.000,
294,1865454,1493441188,165_AHU1_CEV_T1_US,74.325,
295,1865455,1493441188,165_AHU1_CEV_DeltaT_US,1.482,
296,1865456,1493441188,165_AHU1_CEV_T2_US,75.807,
297,1865457,1493441188,165_AHU1_CEV_AbsPower_US1,0.000,
298,1865458,1493441188,165_AHU1_CEV_E_Cooling_US1,268.918,
299,1865459,1493441189,165_AHU1_CEV_E_Heating_US1,0.007,
300,1865460,1493441189,165_AHU1_CEV_RelPower,0.000,
301,1865461,1493441189,165_AHU2_CEV_RelPos,19.260,
302,1865462,1493441189,165_AHU2_CEV_RelFlow,4.441,
303,1865463,1493441189,165_AHU2_CEV_AbsFlow_US,0.526,
304,1865464,1493441189,165_AHU2_CEV_T1_US,45.331,
305,1865465,1493441189,165_AHU2_CEV_DeltaT_US,21.402,
306,1865466,1493441190,165_AHU2_CEV_T2_US,66.733,
307,1865467,1493441190,165_AHU2_CEV_AbsPower_US1,5.599,
308,1865468,1493441190,165_AHU2_CEV_E_Cooling_US1,17249.930,
309,1865469,1493441190,165_AHU2_CEV_E_Heating_US1,0.573,
310,1865470,1493441190,165_AHU2_CEV_RelPower,5.442,
321,1865471,1493441220,003_AHU2_CEV_RelPos,0.150,
322,1865472,1493441220,003_AHU2_CEV_RelFlow,0.000,
323,1865473,1493441220,003_AHU2_CEV_AbsFlow_US,0.000,
324,1865474,1493441220,003_AHU2_CEV_T1_US,69.287,
325,1865475,1493441220,003_AHU2_CEV_DeltaT_US,6.752,
327,1865476,1493441223,003_AHU2_CEV_AbsPower_US1,0.000,
328,1865477,1493441223,003_AHU2_CEV_E_Cooling_US1,53205.340,
329,1865478,1493441223,003_AHU2_CEV_E_Heating_US1,10.918,
330,1865479,1493441223,003_AHU2_CEV_RelPower,0.000,
331,1865480,1493441223,168_AHU1_CEV_RelPos,24.930,
332,1865481,1493441223,168_AHU1_CEV_RelFlow,5.109,
333,1865482,1493441224,168_AHU1_CEV_AbsFlow_US,6.479,
334,1865483,1493441224,168_AHU1_CEV_T1_US,44.780,
335,1865484,1493441224,168_AHU1_CEV_DeltaT_US,23.209,
336,1865485,1493441224,168_AHU1_CEV_T2_US,67.989,
337,1865486,1493441224,168_AHU1_CEV_AbsPower_US1,75.234,
338,1865487,1493441224,168_AHU1_CEV_E_Cooling_US1,107689.492,
339,1865488,1493441224,168_AHU1_CEV_E_Heating_US1,16.534,
340,1865489,1493441225,168_AHU1_CEV_RelPower,10.486,
341,1865490,1493441225,168_AHU2_CEV_RelPos,28.890,
342,1865491,1493441225,168_AHU2_CEV_RelFlow,7.860,
343,1865492,1493441225,168_AHU2_CEV_AbsFlow_US,9.967,
344,1865493,1493441225,168_AHU2_CEV_T1_US,44.295,
345,1865494,1493441225,168_AHU2_CEV_DeltaT_US,17.190,
346,1865495,1493441226,168_AHU2_CEV_T2_US,61.485,
347,1865496,1493441226,168_AHU2_CEV_AbsPower_US1,85.834,
348,1865497,1493441226,168_AHU2_CEV_E_Cooling_US1,120569.555,
349,1865498,1493441226,168_AHU2_CEV_E_Heating_US1,15.389,
350,1865499,1493441226,168_AHU2_CEV_RelPower,11.968,
351,1865500,1493441226,168_MAU1_CEV_RelPos,0.150,
352,1865501,1493441227,168_MAU1_CEV_RelFlow,0.000,
353,1865502,1493441227,168_MAU1_CEV_AbsFlow_US,0.000,
354,1865503,1493441227,168_MAU1_CEV_T1_US,72.892,
355,1865504,1493441227,168_MAU1_CEV_DeltaT_US,0.457,
357,1865505,1493441230,168_MAU1_CEV_AbsPower_US1,0.000,
358,1865506,1493441230,168_MAU1_CEV_E_Cooling_US1,4.537,
359,1865507,1493441230,168_MAU1_CEV_E_Heating_US1,1.746,
360,1865508,1493441230,168_MAU1_CEV_RelPower,0.000,
361,1865509,1493441230,168_AHU3_CEV_RelPos,0.000,
362,1865510,1493441230,168_AHU3_CEV_RelFlow,0.000,
363,1865511,1493441231,168_AHU3_CEV_AbsFlow_US,0.000,
364,1865512,1493441231,168_AHU3_CEV_T1_US,62.774,
365,1865513,1493441231,168_AHU3_CEV_DeltaT_US,9.395,
366,1865514,1493441231,168_AHU3_CEV_T2_US,53.373,
367,1865515,1493441231,168_AHU3_CEV_AbsPower_US1,0.000,
368,1865516,1493441231,168_AHU3_CEV_E_Cooling_US1,474.749,
369,1865517,1493441232,168_AHU3_CEV_E_Heating_US1,0.122,
370,1865518,1493441232,168_AHU3_CEV_RelPower,0.000,
371,1865519,1493441232,168_AHU4_CEV_RelPos,0.300,
372,1865520,1493441233,168_AHU4_CEV_RelFlow,0.000,
373,1865521,1493441233,168_AHU4_CEV_AbsFlow_US,0.000,
374,1865522,1493441233,168_AHU4_CEV_T1_US,56.279,
375,1865523,1493441233,168_AHU4_CEV_DeltaT_US,5.203,
376,1865524,1493441233,168_AHU4_CEV_T2_US,61.481,
377,1865525,1493441233,168_AHU4_CEV_AbsPower_US1,0.000,
378,1865526,1493441233,168_AHU4_CEV_E_Cooling_US1,41936.703,
379,1865527,1493441234,168_AHU4_CEV_E_Heating_US1,0.568,
380,1865528,1493441234,168_AHU4_CEV_RelPower,0.000,
391,1865529,1493441264,153D_AHU3_CEV_RelPos,24.300,
392,1865530,1493441264,153D_AHU3_CEV_RelFlow,3.312,
393,1865531,1493441264,153D_AHU3_CEV_AbsFlow_US,3.013,
394,1865532,1493441264,153D_AHU3_CEV_T1_US,44.376,
395,1865533,1493441264,153D_AHU3_CEV_DeltaT_US,10.041,
396,1865534,1493441265,153D_AHU3_CEV_T2_US,54.416,
397,1865535,1493441265,153D_AHU3_CEV_AbsPower_US1,15.501,
398,1865536,1493441265,153D_AHU3_CEV_E_Cooling_US1,613534.188,
399,1865537,1493441265,153D_AHU3_CEV_E_Heating_US1,3.015,
