data_id,id,modified,name,value,
960,218001,1492163337,102_AHU2L_CEV_RelPower,28.081,
37,218002,1492163343,001_AHU118_CEV_AbsPower_US1,68.269,
38,218003,1492163343,001_AHU118_CEV_E_Cooling_US1,606358.063,
39,218004,1492163349,001_AHU118_CEV_E_Heating_US1,672.630,
40,218005,1492163349,001_AHU118_CEV_RelPower,31.739,
41,218006,1492163349,001_OAU_CEV_RelPos,76.520,
43,218007,1492163353,001_OAU_CEV_AbsFlow_US,39.664,
47,218008,1492163361,001_OAU_CEV_AbsPower_US1,15.673,
48,218009,1492163364,001_OAU_CEV_E_Cooling_US1,204832.703,
49,218010,1492163370,001_OAU_CEV_E_Heating_US1,8.027,
50,218011,1492163370,001_OAU_CEV_RelPower,3.735,
51,218012,1492163373,009_AHU2_CEV_RelPos,59.553,
981,218013,1492163403,161_VAVE_CECVRelPos,37.590,
982,218014,1492163403,161_VAVE_CECVRelFlow,17.812,
983,218015,1492163403,161_VAVE_CECVAbsFlow_US,90.145,
984,218016,1492163403,161_VAVE_CECVT1_US,45.814,
61,218017,1492163404,009_AHU1R_CEV_RelPos,100.000,
62,218018,1492163404,009_AHU1R_CEV_RelFlow,0.000,
63,218019,1492163404,009_AHU1R_CEV_AbsFlow_US,0.000,
64,218020,1492163404,009_AHU1R_CEV_T1_US,72.061,
65,218021,1492163405,009_AHU1R_CEV_DeltaT_US,2.141,
66,218022,1492163405,009_AHU1R_CEV_T2_US,74.202,
67,218023,1492163405,009_AHU1R_CEV_AbsPower_US1,0.000,
68,218024,1492163405,009_AHU1R_CEV_E_Cooling_US1,327567.094,
990,218025,1492163406,161_VAVE_CECVRelPower,9.484,
991,218026,1492163406,161_VAVC_CEV_1RelPos,28.590,
992,218027,1492163406,161_VAVC_CEV_1RelFlow,9.564,
993,218028,1492163406,161_VAVC_CEV_1AbsFlow_US,68.218,
70,218029,1492163407,009_AHU1R_CEV_RelPower,0.000,
994,218030,1492163407,161_VAVC_CEV_1T1_US,46.243,
995,218031,1492163408,161_VAVC_CEV_1DeltaT_US,17.200,
996,218032,1492163408,161_VAVC_CEV_1T2_US,63.438,
997,218033,1492163408,161_VAVC_CEV_1AbsPower_US1,587.500,
998,218034,1492163409,161_VAVC_CEV_1E_Cooling_US1,1173264.125,
999,218035,1492163409,161_VAVC_CEV_1E_Heating_US1,596.474,
1000,218036,1492163409,161_VAVC_CEV_1RelPower,15.086,
1001,218037,1492163410,161_VAVC_CEV_2RelPos,33.630,
1003,218038,1492163415,161_VAVC_CEV_2AbsFlow_US,69.530,
1004,218039,1492163418,161_VAVC_CEV_2T1_US,46.123,
1006,218040,1492163423,161_VAVC_CEV_2T2_US,63.568,
1007,218041,1492163425,161_VAVC_CEV_2AbsPower_US1,583.327,
1008,218042,1492163426,161_VAVC_CEV_2E_Cooling_US1,1224444.125,
1009,218043,1492163427,161_VAVC_CEV_2E_Heating_US1,194.996,
1010,218044,1492163428,161_VAVC_CEV_2RelPower,15.570,
1011,218045,1492163429,161_VAVW_CEV_RelPos,33.140,
1012,218046,1492163429,161_VAVW_CEV_RelFlow,11.843,
1013,218047,1492163429,161_VAVW_CEV_AbsFlow_US,37.543,
1014,218048,1492163429,161_VAVW_CEV_T1_US,46.677,
1015,218049,1492163430,161_VAVW_CEV_DeltaT_US,9.728,
1016,218050,1492163430,161_VAVW_CEV_T2_US,56.405,
1017,218051,1492163430,161_VAVW_CEV_AbsPower_US1,183.085,
1018,218052,1492163430,161_VAVW_CEV_E_Cooling_US1,213393.984,
1019,218053,1492163430,161_VAVW_CEV_E_Heating_US1,0.000,
1020,218054,1492163430,161_VAVW_CEV_RelPower,10.507,
1021,218055,1492163431,161_MAUE_CEV_RelPos,0.000,
1022,218056,1492163431,161_MAUE_CEV_RelFlow,0.000,
1023,218057,1492163431,161_MAUE_CEV_AbsFlow_US,0.000,
1024,218058,1492163431,161_MAUE_CEV_T1_US,82.224,
1025,218059,1492163431,161_MAUE_CEV_DeltaT_US,5.392,
1026,218060,1492163431,161_MAUE_CEV_T2_US,76.832,
1027,218061,1492163431,161_MAUE_CEV_AbsPower_US1,0.000,
1028,218062,1492163432,161_MAUE_CEV_E_Cooling_US1,133.303,
1029,218063,1492163432,161_MAUE_CEV_E_Heating_US1,7.771,
1030,218064,1492163432,161_MAUE_CEV_RelPower,0.000,
1031,218065,1492163432,161_MAUW_CEV_RelPos,0.590,
1032,218066,1492163432,161_MAUW_CEV_RelFlow,67.901,
1033,218067,1492163432,161_MAUW_CEV_AbsFlow_US,347.652,
1034,218068,1492163432,161_MAUW_CEV_T1_US,83.458,
1035,218069,1492163433,161_MAUW_CEV_DeltaT_US,0.866,
1036,218070,1492163433,161_MAUW_CEV_T2_US,84.324,
1037,218071,1492163433,161_MAUW_CEV_AbsPower_US1,150.568,
1038,218072,1492163433,161_MAUW_CEV_E_Cooling_US1,610426.875,
1039,218073,1492163433,161_MAUW_CEV_E_Heating_US1,118461.422,
1040,218074,1492163433,161_MAUW_CEV_RelPower,3.867,
1041,218075,1492163434,085_MZU1_CEV_RelPos,22.490,
1042,218076,1492163434,085_MZU1_CEV_RelFlow,6.989,
1043,218077,1492163434,085_MZU1_CEV_AbsFlow_US,22.156,
1044,218078,1492163434,085_MZU1_CEV_T1_US,46.169,
1045,218079,1492163435,085_MZU1_CEV_DeltaT_US,13.637,
1047,218080,1492163436,085_MZU1_CEV_AbsPower_US1,151.331,
1048,218081,1492163437,085_MZU1_CEV_E_Cooling_US1,265234.125,
1049,218082,1492163438,085_MZU1_CEV_E_Heating_US1,27.512,
1050,218083,1492163439,085_MZU1_CEV_RelPower,8.686,
1051,218084,1492163439,085_MZU2_CEV_RelPos,24.370,
1052,218085,1492163439,085_MZU2_CEV_RelFlow,7.766,
1053,218086,1492163439,085_MZU2_CEV_AbsFlow_US,24.618,
1054,218087,1492163439,085_MZU2_CEV_T1_US,46.178,
1055,218088,1492163440,085_MZU2_CEV_DeltaT_US,11.149,
1056,218089,1492163440,085_MZU2_CEV_T2_US,57.332,
1057,218090,1492163440,085_MZU2_CEV_AbsPower_US1,137.641,
1058,218091,1492163440,085_MZU2_CEV_E_Cooling_US1,214811.750,
1059,218092,1492163441,085_MZU2_CEV_E_Heating_US1,149.514,
1060,218093,1492163441,085_MZU2_CEV_RelPower,7.902,
1061,218094,1492163441,085_AHU1R_CEV_RelPos,42.310,
1062,218095,1492163442,085_AHU1R_CEV_RelFlow,25.897,
1063,218096,1492163442,085_AHU1R_CEV_AbsFlow_US,13.406,
1064,218097,1492163443,085_AHU1R_CEV_T1_US,49.240,
1065,218098,1492163443,085_AHU1R_CEV_DeltaT_US,18.875,
1066,218099,1492163443,085_AHU1R_CEV_T2_US,68.120,
1067,218100,1492163444,085_AHU1R_CEV_AbsPower_US1,126.016,
1068,218101,1492163444,085_AHU1R_CEV_E_Cooling_US1,166877.734,
1069,218102,1492163444,085_AHU1R_CEV_E_Heating_US1,1051.813,
1070,218103,1492163444,085_AHU1R_CEV_RelPower,30.259,
1084,218104,1492163485,120_AHU103C_CEV_T1_US,83.719,
1086,218105,1492163490,120_AHU103C_CEV_T2_US,84.473,
1088,218106,1492163495,120_AHU103C_CEV_E_Cooling_US1,1.000,
1089,218107,1492163497,120_AHU103C_CEV_E_Heating_US1,97.292,
1090,218108,1492163499,120_AHU103C_CEV_RelPower,0.000,
1091,218109,1492163500,120_AHU107_CEV_RelPos,0.000,
1092,218110,1492163501,120_AHU107_CEV_RelFlow,0.000,
1093,218111,1492163502,120_AHU107_CEV_AbsFlow_US,0.000,
1094,218112,1492163503,120_AHU107_CEV_T1_US,73.792,
1095,218113,1492163503,120_AHU107_CEV_DeltaT_US,0.578,
1096,218114,1492163503,120_AHU107_CEV_T2_US,74.374,
1097,218115,1492163503,120_AHU107_CEV_AbsPower_US1,0.000,
1098,218116,1492163504,120_AHU107_CEV_E_Cooling_US1,0.000,
1099,218117,1492163505,120_AHU107_CEV_E_Heating_US1,0.000,
1100,218118,1492163506,120_AHU107_CEV_RelPower,0.000,
1101,218119,1492163507,116_AHU114_CEV_RelPos,16.150,
1102,218120,1492163507,116_AHU114_CEV_RelFlow,2.961,
1103,218121,1492163507,116_AHU114_CEV_AbsFlow_US,1.419,
1104,218122,1492163507,116_AHU114_CEV_T1_US,47.260,
1105,218123,1492163508,116_AHU114_CEV_DeltaT_US,25.406,
1106,218124,1492163508,116_AHU114_CEV_T2_US,72.667,
1107,218125,1492163508,116_AHU114_CEV_AbsPower_US1,17.899,
1108,218126,1492163509,116_AHU114_CEV_E_Cooling_US1,57547.539,
1109,218127,1492163510,116_AHU114_CEV_E_Heating_US1,1.042,
1110,218128,1492163510,116_AHU114_CEV_RelPower,4.548,
1111,218129,1492163510,116_AHU218_CEV_RelPos,16.150,
1112,218130,1492163511,116_AHU218_CEV_RelFlow,3.223,
1113,218131,1492163511,116_AHU218_CEV_AbsFlow_US,1.545,
1114,218132,1492163512,116_AHU218_CEV_T1_US,47.251,
1115,218133,1492163512,116_AHU218_CEV_DeltaT_US,25.415,
1116,218134,1492163512,116_AHU218_CEV_T2_US,72.671,
1117,218135,1492163512,116_AHU218_CEV_AbsPower_US1,19.322,
1118,218136,1492163512,116_AHU218_CEV_E_Cooling_US1,57547.559,
1119,218137,1492163512,116_AHU218_CEV_E_Heating_US1,1.042,
1120,218138,1492163513,116_AHU218_CEV_RelPower,4.578,
81,218139,1492163543,027_BC1_CEV_RelPos,0.000,
82,218140,1492163543,027_BC1_CEV_RelFlow,0.000,
83,218141,1492163544,027_BC1_CEV_AbsFlow_US,0.000,
84,218142,1492163544,027_BC1_CEV_T1_US,70.308,
85,218143,1492163544,027_BC1_CEV_DeltaT_US,5.602,
86,218144,1492163544,027_BC1_CEV_T2_US,75.905,
87,218145,1492163544,027_BC1_CEV_AbsPower_US1,0.000,
88,218146,1492163545,027_BC1_CEV_E_Cooling_US1,57107.863,
89,218147,1492163545,027_BC1_CEV_E_Heating_US1,0.339,
90,218148,1492163545,027_BC1_CEV_RelPower,0.000,
91,218149,1492163545,027_AHU1W_CEV_RelPos,0.150,
92,218150,1492163546,027_AHU1W_CEV_RelFlow,0.000,
93,218151,1492163546,027_AHU1W_CEV_AbsFlow_US,0.000,
94,218152,1492163546,027_AHU1W_CEV_T1_US,71.050,
95,218153,1492163546,027_AHU1W_CEV_DeltaT_US,2.716,
96,218154,1492163546,027_AHU1W_CEV_T2_US,73.771,
97,218155,1492163547,027_AHU1W_CEV_AbsPower_US1,0.000,
98,218156,1492163547,027_AHU1W_CEV_E_Cooling_US1,21158.348,
116,218157,1492163565,027_AHU2E_CEV_T2_US,75.042,
118,218158,1492163565,027_AHU2E_CEV_E_Cooling_US1,68655.266,
119,218159,1492163565,027_AHU2E_CEV_E_Heating_US1,20.903,
120,218160,1492163566,027_AHU2E_CEV_RelPower,0.000,
121,218161,1492163566,027_AHU3_CEV_RelPos,0.000,
122,218162,1492163566,027_AHU3_CEV_RelFlow,0.000,
123,218163,1492163566,027_AHU3_CEV_AbsFlow_US,0.000,
124,218164,1492163566,027_AHU3_CEV_T1_US,51.539,
125,218165,1492163567,027_AHU3_CEV_DeltaT_US,20.789,
126,218166,1492163567,027_AHU3_CEV_T2_US,72.333,
127,218167,1492163567,027_AHU3_CEV_AbsPower_US1,0.000,
128,218168,1492163567,027_AHU3_CEV_E_Cooling_US1,84118.031,
129,218169,1492163567,027_AHU3_CEV_E_Heating_US1,4.329,
130,218170,1492163568,027_AHU3_CEV_RelPower,0.000,
131,218171,1492163568,027_AHU4_CEV_RelPos,0.000,
132,218172,1492163568,027_AHU4_CEV_RelFlow,0.000,
133,218173,1492163568,027_AHU4_CEV_AbsFlow_US,0.000,
134,218174,1492163568,027_AHU4_CEV_T1_US,68.136,
135,218175,1492163569,027_AHU4_CEV_DeltaT_US,5.713,
136,218176,1492163569,027_AHU4_CEV_T2_US,73.859,
137,218177,1492163569,027_AHU4_CEV_AbsPower_US1,0.000,
138,218178,1492163570,027_AHU4_CEV_E_Cooling_US1,75165.164,
139,218179,1492163570,027_AHU4_CEV_E_Heating_US1,4.388,
140,218180,1492163570,027_AHU4_CEV_RelPower,0.000,
141,218181,1492163570,027_AHu1_CEV_RelPos,17.400,
142,218182,1492163570,027_AHu1_CEV_RelFlow,1.327,
144,218183,1492163571,027_AHu1_CEV_T1_US,47.750,
145,218184,1492163571,027_AHu1_CEV_DeltaT_US,27.919,
146,218185,1492163571,027_AHu1_CEV_T2_US,75.668,
147,218186,1492163571,027_AHu1_CEV_AbsPower_US1,1.846,
148,218187,1492163572,027_AHu1_CEV_E_Cooling_US1,48747.012,
149,218188,1492163572,027_AHu1_CEV_E_Heating_US1,0.187,
150,218189,1492163572,027_AHu1_CEV_RelPower,3.008,
151,218190,1492163572,027_AHu2_CEV_RelPos,17.630,
152,218191,1492163572,027_AHu2_CEV_RelFlow,3.994,
153,218192,1492163572,027_AHu2_CEV_AbsFlow_US,0.495,
154,218193,1492163573,027_AHu2_CEV_T1_US,47.288,
155,218194,1492163573,027_AHu2_CEV_DeltaT_US,27.383,
156,218195,1492163573,027_AHu2_CEV_T2_US,74.671,
157,218196,1492163573,027_AHu2_CEV_AbsPower_US1,6.634,
158,218197,1492163573,027_AHu2_CEV_E_Cooling_US1,68875.352,
159,218198,1492163574,027_AHu2_CEV_E_Heating_US1,1.741,
160,218199,1492163574,027_AHu2_CEV_RelPower,6.453,
161,218200,1492163574,091_AHU101_CEV_RelPos,21.330,
162,218201,1492163574,091_AHU101_CEV_RelFlow,3.743,
163,218202,1492163574,091_AHU101_CEV_AbsFlow_US,2.990,
164,218203,1492163575,091_AHU101_CEV_T1_US,46.238,
165,218204,1492163575,091_AHU101_CEV_DeltaT_US,20.345,
166,218205,1492163575,091_AHU101_CEV_T2_US,66.579,
167,218206,1492163575,091_AHU101_CEV_AbsPower_US1,30.429,
168,218207,1492163575,091_AHU101_CEV_E_Cooling_US1,241055.563,
169,218208,1492163576,091_AHU101_CEV_E_Heating_US1,29.082,
170,218209,1492163576,091_AHU101_CEV_RelPower,4.243,
171,218210,1492163576,091_AHU102_CEV_RelPos,34.500,
172,218211,1492163576,091_AHU102_CEV_RelFlow,13.996,
173,218212,1492163576,091_AHU102_CEV_AbsFlow_US,3.867,
174,218213,1492163577,091_AHU102_CEV_T1_US,46.688,
175,218214,1492163577,091_AHU102_CEV_DeltaT_US,19.368,
176,218215,1492163577,091_AHU102_CEV_T2_US,66.056,
177,218216,1492163577,091_AHU102_CEV_AbsPower_US1,39.311,
178,218217,1492163578,091_AHU102_CEV_E_Cooling_US1,75277.156,
179,218218,1492163580,091_AHU102_CEV_E_Heating_US1,15.682,
185,218219,1492163588,091_AHU103_CEV_DeltaT_US,24.113,
186,218220,1492163588,091_AHU103_CEV_T2_US,70.732,
187,218221,1492163588,091_AHU103_CEV_AbsPower_US1,36.195,
188,218222,1492163589,091_AHU103_CEV_E_Cooling_US1,95699.828,
189,218223,1492163589,091_AHU103_CEV_E_Heating_US1,5.725,
190,218224,1492163589,091_AHU103_CEV_RelPower,16.866,
196,218225,1492163601,091_AHU01_CEV_1T2_US,57.609,
197,218226,1492163601,091_AHU01_CEV_1AbsPower_US1,254.571,
198,218227,1492163601,091_AHU01_CEV_1E_Cooling_US1,3950551.750,
199,218228,1492163601,091_AHU01_CEV_1E_Heating_US1,2762.525,
200,218229,1492163601,091_AHU01_CEV_1RelPower,9.203,
201,218230,1492163602,091_AHU01_CEV_2RelPos,26.830,
202,218231,1492163602,091_AHU01_CEV_2RelFlow,8.982,
203,218232,1492163602,091_AHU01_CEV_2AbsFlow_US,43.154,
204,218233,1492163602,091_AHU01_CEV_2T1_US,46.548,
205,218234,1492163602,091_AHU01_CEV_2DeltaT_US,10.734,
206,218235,1492163602,091_AHU01_CEV_2T2_US,57.282,
207,218236,1492163603,091_AHU01_CEV_2AbsPower_US1,232.186,
208,218237,1492163603,091_AHU01_CEV_2E_Cooling_US1,1049303.000,
209,218238,1492163603,091_AHU01_CEV_2E_Heating_US1,233.039,
210,218239,1492163603,091_AHU01_CEV_2RelPower,8.386,
211,218240,1492163604,091_AHU319_CEV_RelPos,0.000,
212,218241,1492163604,091_AHU319_CEV_RelFlow,0.000,
213,218242,1492163604,091_AHU319_CEV_AbsFlow_US,0.000,
214,218243,1492163604,091_AHU319_CEV_T1_US,70.600,
215,218244,1492163605,091_AHU319_CEV_DeltaT_US,1.362,
217,218245,1492163605,091_AHU319_CEV_AbsPower_US1,0.000,
218,218246,1492163605,091_AHU319_CEV_E_Cooling_US1,811.301,
219,218247,1492163606,091_AHU319_CEV_E_Heating_US1,2.246,
220,218248,1492163606,091_AHU319_CEV_RelPower,0.000,
221,218249,1492163606,091_AHU504_CEV_RelPos,18.440,
222,218250,1492163606,091_AHU504_CEV_RelFlow,2.515,
225,218251,1492163607,091_AHU504_CEV_DeltaT_US,20.040,
226,218252,1492163607,091_AHU504_CEV_T2_US,66.705,
229,218253,1492163611,091_AHU504_CEV_E_Heating_US1,0.194,
230,218254,1492163611,091_AHU504_CEV_RelPower,3.602,
271,218255,1492163729,165_MAU1_CEV_1RelPos,100.000,
275,218256,1492163733,165_MAU1_CEV_1DeltaT_US,3.843,
276,218257,1492163734,165_MAU1_CEV_1T2_US,88.239,
