data_id,id,modified,name,value,
641,2057401,1491990641,RelPos,53.980,
642,2057402,1491990642,RelFlow,30.055,
643,2057403,1491990642,AbsFlow_US,20.351,
646,2057404,1491990643,T2_US,54.550,
647,2057405,1491990643,AbsPower_US1,77.043,
40,2057406,1491990643,RelPower,26.525,
41,2057407,1491990644,RelPos,0.000,
42,2057408,1491990644,RelFlow,0.000,
648,2057409,1491990644,E_Cooling_US1,472796.969,
649,2057410,1491990644,E_Heating_US1,36.578,
43,2057411,1491990644,AbsFlow_US,0.000,
44,2057412,1491990644,T1_US,65.845,
650,2057413,1491990645,RelPower,18.343,
651,2057414,1491990645,RelPos,43.870,
652,2057415,1491990645,RelFlow,14.741,
653,2057416,1491990646,AbsFlow_US,13.429,
654,2057417,1491990646,T1_US,46.785,
45,2057418,1491990646,DeltaT_US,0.364,
657,2057419,1491990648,AbsPower_US1,115.478,
17,2057420,1491990649,AbsPower_US1,720.420,
47,2057421,1491990649,AbsPower_US1,0.000,
660,2057422,1491990651,RelPower,21.165,
48,2057423,1491990652,E_Cooling_US1,204054.953,
49,2057424,1491990653,E_Heating_US1,8.023,
662,2057425,1491990653,RelFlow,0.000,
663,2057426,1491990653,AbsFlow_US,0.000,
664,2057427,1491990653,T1_US,56.071,
51,2057428,1491990653,RelPos,58.913,
665,2057429,1491990654,DeltaT_US,14.146,
666,2057430,1491990654,T2_US,70.222,
667,2057431,1491990654,AbsPower_US1,0.000,
668,2057432,1491990655,E_Cooling_US1,375485.656,
669,2057433,1491990655,E_Heating_US1,122.634,
670,2057434,1491990655,RelPower,0.000,
671,2057435,1491990655,RelPos,100.000,
672,2057436,1491990655,RelFlow,0.000,
673,2057437,1491990655,AbsFlow_US,0.000,
674,2057438,1491990656,T1_US,70.918,
675,2057439,1491990656,DeltaT_US,2.791,
676,2057440,1491990656,T2_US,73.714,
677,2057441,1491990656,AbsPower_US1,0.000,
678,2057442,1491990657,E_Cooling_US1,620049.563,
679,2057443,1491990657,E_Heating_US1,2.051,
680,2057444,1491990657,RelPower,0.000,
681,2057445,1491990657,RelPos,100.000,
682,2057446,1491990658,RelFlow,2.642,
683,2057447,1491990658,AbsFlow_US,3.560,
684,2057448,1491990658,T1_US,70.658,
685,2057449,1491990658,DeltaT_US,2.870,
686,2057450,1491990658,T2_US,73.529,
687,2057451,1491990658,AbsPower_US1,5.109,
688,2057452,1491990659,E_Cooling_US1,1160556.250,
689,2057453,1491990659,E_Heating_US1,35.780,
690,2057454,1491990659,RelPower,0.550,
61,2057455,1491990659,RelPos,0.300,
691,2057456,1491990659,RelPos,33.480,
692,2057457,1491990660,RelFlow,19.290,
693,2057458,1491990660,AbsFlow_US,25.989,
694,2057459,1491990660,T1_US,46.289,
62,2057460,1491990660,RelFlow,0.000,
695,2057461,1491990660,DeltaT_US,13.113,
696,2057462,1491990661,T2_US,59.407,
697,2057463,1491990661,AbsPower_US1,170.820,
63,2057464,1491990661,AbsFlow_US,0.000,
698,2057465,1491990661,E_Cooling_US1,1411246.250,
699,2057466,1491990661,E_Heating_US1,234.006,
700,2057467,1491990661,RelPower,16.667,
18,2057468,1491990664,E_Cooling_US1,4871026.500,
64,2057469,1491990667,T1_US,71.078,
65,2057470,1491990673,DeltaT_US,2.067,
66,2057471,1491990676,T2_US,73.154,
67,2057472,1491990679,AbsPower_US1,0.000,
68,2057473,1491990679,E_Cooling_US1,327567.094,
69,2057474,1491990679,E_Heating_US1,3.011,
19,2057475,1491990682,E_Heating_US1,19751.359,
70,2057476,1491990682,RelPower,0.000,
712,2057477,1491990691,RelFlow,0.000,
713,2057478,1491990691,AbsFlow_US,0.000,
715,2057479,1491990692,DeltaT_US,5.967,
716,2057480,1491990692,T2_US,61.087,
717,2057481,1491990692,AbsPower_US1,0.000,
718,2057482,1491990692,E_Cooling_US1,50548.125,
719,2057483,1491990692,E_Heating_US1,76748.430,
720,2057484,1491990693,RelPower,0.000,
721,2057485,1491990693,RelPos,66.520,
722,2057486,1491990693,RelFlow,95.009,
723,2057487,1491990693,AbsFlow_US,28.236,
724,2057488,1491990693,T1_US,47.117,
725,2057489,1491990693,DeltaT_US,3.972,
726,2057490,1491990694,T2_US,51.089,
727,2057491,1491990694,AbsPower_US1,56.115,
728,2057492,1491990695,E_Cooling_US1,244513.750,
729,2057493,1491990696,E_Heating_US1,1084.906,
735,2057494,1491990702,DeltaT_US,11.948,
736,2057495,1491990702,T2_US,58.182,
737,2057496,1491990702,AbsPower_US1,132.673,
738,2057497,1491990703,E_Cooling_US1,883223.688,
739,2057498,1491990703,E_Heating_US1,2739.129,
