data_id,id,modified,name,value,
1065,593001,1492440422,085_AHU1R_CEV_DeltaT_US,21.047,
1066,593002,1492440422,085_AHU1R_CEV_T2_US,70.495,
1067,593003,1492440422,085_AHU1R_CEV_AbsPower_US1,110.940,
1068,593004,1492440422,085_AHU1R_CEV_E_Cooling_US1,176290.766,
1069,593005,1492440423,085_AHU1R_CEV_E_Heating_US1,1051.813,
6,593006,1492440423,136A_Ahu1_CEV_T2_US,61.968,
1070,593007,1492440423,085_AHU1R_CEV_RelPower,27.154,
1082,593008,1492440458,120_AHU103C_CEV_RelFlow,0.000,
1084,593009,1492440462,120_AHU103C_CEV_T1_US,80.871,
7,593010,1492440462,136A_Ahu1_CEV_AbsPower_US1,0.000,
8,593011,1492440463,136A_Ahu1_CEV_E_Cooling_US1,6187884.000,
1085,593012,1492440464,120_AHU103C_CEV_DeltaT_US,2.670,
1086,593013,1492440465,120_AHU103C_CEV_T2_US,78.192,
1087,593014,1492440467,120_AHU103C_CEV_AbsPower_US1,0.000,
1088,593015,1492440468,120_AHU103C_CEV_E_Cooling_US1,1.000,
1089,593016,1492440469,120_AHU103C_CEV_E_Heating_US1,97.292,
1090,593017,1492440470,120_AHU103C_CEV_RelPower,0.000,
1091,593018,1492440471,120_AHU107_CEV_RelPos,0.000,
1092,593019,1492440473,120_AHU107_CEV_RelFlow,0.000,
1093,593020,1492440475,120_AHU107_CEV_AbsFlow_US,0.000,
1094,593021,1492440477,120_AHU107_CEV_T1_US,84.030,
1096,593022,1492440482,120_AHU107_CEV_T2_US,80.637,
1097,593023,1492440484,120_AHU107_CEV_AbsPower_US1,0.000,
1098,593024,1492440485,120_AHU107_CEV_E_Cooling_US1,0.000,
9,593025,1492440485,136A_Ahu1_CEV_E_Heating_US1,206.046,
1099,593026,1492440486,120_AHU107_CEV_E_Heating_US1,0.288,
1100,593027,1492440487,120_AHU107_CEV_RelPower,0.000,
1101,593028,1492440488,116_AHU114_CEV_RelPos,30.100,
1102,593029,1492440488,116_AHU114_CEV_RelFlow,10.227,
10,593030,1492440488,136A_Ahu1_CEV_RelPower,0.000,
1103,593031,1492440488,116_AHU114_CEV_AbsFlow_US,4.829,
11,593032,1492440488,136A_Ahu1_CEV_RelPos,0.290,
1104,593033,1492440488,116_AHU114_CEV_T1_US,47.191,
1105,593034,1492440489,116_AHU114_CEV_DeltaT_US,18.280,
1106,593035,1492440489,116_AHU114_CEV_T2_US,65.471,
1107,593036,1492440489,116_AHU114_CEV_AbsPower_US1,45.000,
1108,593037,1492440489,116_AHU114_CEV_E_Cooling_US1,59267.434,
1109,593038,1492440490,116_AHU114_CEV_E_Heating_US1,1.042,
1110,593039,1492440492,116_AHU114_CEV_RelPower,10.660,
1111,593040,1492440492,116_AHU218_CEV_RelPos,30.100,
1112,593041,1492440493,116_AHU218_CEV_RelFlow,10.289,
1113,593042,1492440493,116_AHU218_CEV_AbsFlow_US,4.942,
1114,593043,1492440493,116_AHU218_CEV_T1_US,47.200,
1115,593044,1492440493,116_AHU218_CEV_DeltaT_US,18.271,
1116,593045,1492440494,116_AHU218_CEV_T2_US,65.471,
1117,593046,1492440494,116_AHU218_CEV_AbsPower_US1,44.837,
12,593047,1492440494,136A_Ahu1_CEV_RelFlow,0.000,
13,593048,1492440494,136A_Ahu1_CEV_AbsFlow_US,0.000,
1118,593049,1492440494,116_AHU218_CEV_E_Cooling_US1,59267.500,
1119,593050,1492440497,116_AHU218_CEV_E_Heating_US1,1.042,
1120,593051,1492440498,116_AHU218_CEV_RelPower,10.814,
14,593052,1492440522,136A_Ahu1_CEV_T1_US,45.523,
81,593053,1492440525,027_BC1_CEV_RelPos,0.000,
82,593054,1492440525,027_BC1_CEV_RelFlow,0.000,
83,593055,1492440525,027_BC1_CEV_AbsFlow_US,0.000,
84,593056,1492440525,027_BC1_CEV_T1_US,73.314,
85,593057,1492440525,027_BC1_CEV_DeltaT_US,4.980,
15,593058,1492440526,136A_Ahu1_CEV_DeltaT_US,8.477,
86,593059,1492440526,027_BC1_CEV_T2_US,78.299,
87,593060,1492440526,027_BC1_CEV_AbsPower_US1,0.000,
88,593061,1492440526,027_BC1_CEV_E_Cooling_US1,57271.734,
89,593062,1492440527,027_BC1_CEV_E_Heating_US1,0.339,
90,593063,1492440527,027_BC1_CEV_RelPower,0.000,
91,593064,1492440527,027_AHU1W_CEV_RelPos,0.150,
