data_id,id,modified,name,value,
14,167601,1492127279,136A_Ahu1_CEV_T1_US,46.188,
900,167602,1492127279,133_AHU5_CEV_RelPower,0.000,
901,167603,1492127280,133_AHU1E_CEV_RelPos,100.000,
902,167604,1492127280,133_AHU1E_CEV_RelFlow,94.736,
903,167605,1492127280,133_AHU1E_CEV_AbsFlow_US,154.865,
904,167606,1492127280,133_AHU1E_CEV_T1_US,46.086,
905,167607,1492127280,133_AHU1E_CEV_DeltaT_US,3.543,
906,167608,1492127280,133_AHU1E_CEV_T2_US,49.625,
907,167609,1492127281,133_AHU1E_CEV_AbsPower_US1,275.416,
908,167610,1492127281,133_AHU1E_CEV_E_Cooling_US1,1203727.625,
909,167611,1492127281,133_AHU1E_CEV_E_Heating_US1,3.097,
910,167612,1492127281,133_AHU1E_CEV_RelPower,26.847,
911,167613,1492127281,133_AHU2E_CEV_RelPos,51.840,
912,167614,1492127282,133_AHU2E_CEV_RelFlow,30.925,
913,167615,1492127282,133_AHU2E_CEV_AbsFlow_US,50.554,
914,167616,1492127282,133_AHU2E_CEV_T1_US,46.405,
915,167617,1492127283,133_AHU2E_CEV_DeltaT_US,4.097,
916,167618,1492127283,133_AHU2E_CEV_T2_US,50.502,
15,167619,1492127283,136A_Ahu1_CEV_DeltaT_US,10.060,
917,167620,1492127284,133_AHU2E_CEV_AbsPower_US1,104.908,
918,167621,1492127284,133_AHU2E_CEV_E_Cooling_US1,328482.906,
919,167622,1492127284,133_AHU2E_CEV_E_Heating_US1,2.264,
920,167623,1492127284,133_AHU2E_CEV_RelPower,10.239,
16,167624,1492127285,136A_Ahu1_CEV_T2_US,56.248,
922,167625,1492127287,082_RTU1E_CEV_RelFlow,21.007,
926,167626,1492127289,082_RTU1E_CEV_T2_US,54.702,
927,167627,1492127290,082_RTU1E_CEV_AbsPower_US1,132.105,
928,167628,1492127290,082_RTU1E_CEV_E_Cooling_US1,478423.219,
929,167629,1492127290,082_RTU1E_CEV_E_Heating_US1,5491.188,
19,167630,1492127290,136A_Ahu1_CEV_E_Heating_US1,19751.359,
930,167631,1492127291,082_RTU1E_CEV_RelPower,12.789,
931,167632,1492127291,082_RTU1E_CEV_RelPos,0.150,
20,167633,1492127291,136A_Ahu1_CEV_RelPower,13.553,
932,167634,1492127291,082_RTU1E_CEV_RelFlow,0.000,
933,167635,1492127291,082_RTU1E_CEV_AbsFlow_US,0.000,
934,167636,1492127292,082_RTU1E_CEV_T1_US,48.509,
935,167637,1492127292,082_RTU1E_CEV_DeltaT_US,17.620,
936,167638,1492127292,082_RTU1E_CEV_T2_US,66.134,
937,167639,1492127292,082_RTU1E_CEV_AbsPower_US1,0.000,
938,167640,1492127292,082_RTU1E_CEV_E_Cooling_US1,127393.602,
939,167641,1492127292,082_RTU1E_CEV_E_Heating_US1,249.669,
940,167642,1492127293,082_RTU1E_CEV_RelPower,0.000,
942,167643,1492127297,102_AHU1L_CEV_RelFlow,96.154,
943,167644,1492127299,102_AHU1L_CEV_AbsFlow_US,9.605,
944,167645,1492127300,102_AHU1L_CEV_T1_US,46.596,
945,167646,1492127302,102_AHU1L_CEV_DeltaT_US,6.939,
946,167647,1492127304,102_AHU1L_CEV_T2_US,53.544,
950,167648,1492127315,102_AHU1L_CEV_RelPower,54.617,
21,167649,1492127315,001_AHU106_CEV_RelPos,25.300,
951,167650,1492127317,102_AHU2L_CEV_RelPos,32.150,
953,167651,1492127320,102_AHU2L_CEV_AbsFlow_US,3.781,
954,167652,1492127321,102_AHU2L_CEV_T1_US,47.006,
955,167653,1492127321,102_AHU2L_CEV_DeltaT_US,16.382,
956,167654,1492127321,102_AHU2L_CEV_T2_US,63.384,
957,167655,1492127321,102_AHU2L_CEV_AbsPower_US1,31.075,
22,167656,1492127321,001_AHU106_CEV_RelFlow,12.227,
23,167657,1492127322,001_AHU106_CEV_AbsFlow_US,4.891,
958,167658,1492127323,102_AHU2L_CEV_E_Cooling_US1,9230.217,
959,167659,1492127324,102_AHU2L_CEV_E_Heating_US1,19.036,
960,167660,1492127324,102_AHU2L_CEV_RelPower,30.269,
24,167661,1492127336,001_AHU106_CEV_T1_US,46.882,
28,167662,1492127360,001_AHU106_CEV_E_Cooling_US1,231313.813,
