data_id,id,modified,name,value,
888,1077001,1492793276,133_AHU4_CEV_E_Cooling_US1,889511.250,
889,1077002,1492793276,133_AHU4_CEV_E_Heating_US1,6.659,
890,1077003,1492793277,133_AHU4_CEV_RelPower,0.000,
891,1077004,1492793277,133_AHU5_CEV_RelPos,0.000,
30,1077005,1492793277,001_AHU106_CEV_RelPower,0.000,
892,1077006,1492793277,133_AHU5_CEV_RelFlow,0.000,
893,1077007,1492793277,133_AHU5_CEV_AbsFlow_US,0.000,
894,1077008,1492793277,133_AHU5_CEV_T1_US,64.764,
895,1077009,1492793278,133_AHU5_CEV_DeltaT_US,7.532,
896,1077010,1492793278,133_AHU5_CEV_T2_US,72.295,
897,1077011,1492793278,133_AHU5_CEV_AbsPower_US1,0.000,
898,1077012,1492793278,133_AHU5_CEV_E_Cooling_US1,3463.370,
899,1077013,1492793278,133_AHU5_CEV_E_Heating_US1,1.080,
900,1077014,1492793278,133_AHU5_CEV_RelPower,0.000,
901,1077015,1492793279,133_AHU1E_CEV_RelPos,100.000,
902,1077016,1492793279,133_AHU1E_CEV_RelFlow,105.407,
903,1077017,1492793279,133_AHU1E_CEV_AbsFlow_US,173.021,
904,1077018,1492793280,133_AHU1E_CEV_T1_US,44.748,
905,1077019,1492793280,133_AHU1E_CEV_DeltaT_US,2.583,
906,1077020,1492793280,133_AHU1E_CEV_T2_US,47.331,
907,1077021,1492793280,133_AHU1E_CEV_AbsPower_US1,224.460,
908,1077022,1492793281,133_AHU1E_CEV_E_Cooling_US1,1250266.875,
909,1077023,1492793281,133_AHU1E_CEV_E_Heating_US1,3.097,
910,1077024,1492793283,133_AHU1E_CEV_RelPower,21.695,
911,1077025,1492793283,133_AHU2E_CEV_RelPos,55.520,
912,1077026,1492793284,133_AHU2E_CEV_RelFlow,31.796,
913,1077027,1492793284,133_AHU2E_CEV_AbsFlow_US,51.978,
914,1077028,1492793284,133_AHU2E_CEV_T1_US,44.978,
915,1077029,1492793284,133_AHU2E_CEV_DeltaT_US,3.216,
916,1077030,1492793284,133_AHU2E_CEV_T2_US,48.199,
